Time (s) Run #13,Time (s) Run #14,Time (s) Run #15,Time (s) Run #16,Time (s) Run #17,Time (s) Run #18,Time (s) Run #19,Time (s) Run #20,Time (s) Run #21,Time (s) Run #22,Position (m) Run #13,Position (m) Run #14,Position (m) Run #15,Position (m) Run #16,Position (m) Run #17,Position (m) Run #18,Position (m) Run #19,Position (m) Run #20,Position (m) Run #21,Position (m) Run #22
-1.58,-1.22,-3.18,-1.06,-2.16,-1.0,-1.2,-1.08,-0.9,-0.68,,,,,,,,,,
-1.56,-1.2,-3.16,-1.04,-2.14,-0.98,-1.18,-1.06,-0.88,-0.66,,,,,,,,,,
-1.54,-1.18,-3.14,-1.02,-2.12,-0.96,-1.16,-1.04,-0.86,-0.64,,,,,,,,,,
-1.52,-1.16,-3.12,-1.0,-2.1,-0.94,-1.14,-1.02,-0.8400000000000001,-0.6200000000000001,,,,,,,,,,
-1.5,-1.14,-3.1,-0.9800000000000001,-2.08,-0.92,-1.1199999999999999,-1.0,-0.8200000000000001,-0.6000000000000001,,,,,,,,,,
-1.48,-1.1199999999999999,-3.08,-0.9600000000000001,-2.06,-0.9,-1.0999999999999999,-0.9800000000000001,-0.8,-0.5800000000000001,,,,,,,,,,
-1.46,-1.1,-3.06,-0.9400000000000001,-2.04,-0.88,-1.08,-0.9600000000000001,-0.78,-0.56,,,,,,,,,,
-1.44,-1.08,-3.04,-0.92,-2.02,-0.86,-1.06,-0.9400000000000001,-0.76,-0.54,,,,,,,,,,
-1.4200000000000002,-1.06,-3.02,-0.9,-2.0,-0.84,-1.04,-0.92,-0.74,-0.52,,,,,,,,,,
-1.4000000000000001,-1.04,-3.0,-0.8800000000000001,-1.9800000000000002,-0.8200000000000001,-1.02,-0.9000000000000001,-0.72,-0.5,,,,,,,,,,
-1.3800000000000001,-1.02,-2.98,-0.8600000000000001,-1.9600000000000002,-0.8,-1.0,-0.8800000000000001,-0.7,-0.48000000000000004,,,,,,,,,,
-1.36,-1.0,-2.96,-0.8400000000000001,-1.9400000000000002,-0.78,-0.98,-0.8600000000000001,-0.68,-0.4600000000000001,,,,,,,,,,
-1.34,-0.98,-2.9400000000000004,-0.8200000000000001,-1.9200000000000002,-0.76,-0.96,-0.8400000000000001,-0.66,-0.44000000000000006,,,,,,,,,,
-1.32,-0.96,-2.92,-0.8,-1.9000000000000001,-0.74,-0.94,-0.8200000000000001,-0.64,-0.42000000000000004,,,,,,,,,,
-1.3,-0.94,-2.9000000000000004,-0.78,-1.8800000000000001,-0.72,-0.9199999999999999,-0.8,-0.62,-0.4,,,,,,,,,,
-1.28,-0.9199999999999999,-2.8800000000000003,-0.76,-1.86,-0.7,-0.8999999999999999,-0.78,-0.6000000000000001,-0.38000000000000006,,,,,,,,,,
-1.26,-0.8999999999999999,-2.8600000000000003,-0.74,-1.84,-0.6799999999999999,-0.8799999999999999,-0.76,-0.5800000000000001,-0.36000000000000004,,,,,,,,,,
-1.24,-0.8799999999999999,-2.8400000000000003,-0.72,-1.82,-0.6599999999999999,-0.8599999999999999,-0.74,-0.56,-0.34,,,,,,,,,,
-1.2200000000000002,-0.86,-2.8200000000000003,-0.7000000000000001,-1.8000000000000003,-0.64,-0.84,-0.7200000000000001,-0.54,-0.32000000000000006,,,,,,,,,,
-1.2000000000000002,-0.84,-2.8000000000000003,-0.68,-1.7800000000000002,-0.62,-0.82,-0.7000000000000001,-0.52,-0.30000000000000004,,,,,,,,,,
-1.1800000000000002,-0.82,-2.7800000000000002,-0.66,-1.7600000000000002,-0.6,-0.7999999999999999,-0.68,-0.5,-0.28,,,,,,,,,,
-1.1600000000000001,-0.8,-2.7600000000000002,-0.6400000000000001,-1.7400000000000002,-0.5800000000000001,-0.78,-0.6600000000000001,-0.48000000000000004,-0.26000000000000006,,,,,,,,,,
-1.1400000000000001,-0.78,-2.74,-0.6200000000000001,-1.7200000000000002,-0.56,-0.76,-0.6400000000000001,-0.46,-0.24000000000000005,,,,,,,,,,
-1.12,-0.76,-2.72,-0.6000000000000001,-1.7000000000000002,-0.54,-0.74,-0.6200000000000001,-0.44,-0.22000000000000003,,,,,,,,,,
-1.1,-0.74,-2.7,-0.5800000000000001,-1.6800000000000002,-0.52,-0.72,-0.6000000000000001,-0.42000000000000004,-0.20000000000000007,,,,,,,,,,
-1.08,-0.72,-2.68,-0.56,-1.6600000000000001,-0.5,-0.7,-0.5800000000000001,-0.4,-0.18000000000000005,,,,,,,,,,
-1.06,-0.7,-2.66,-0.54,-1.6400000000000001,-0.48,-0.6799999999999999,-0.56,-0.38,-0.16000000000000003,,,,,,,,,,
